addr	type	namespace	name	source
EXTERNAL:0000009e	Function	MSVCRT.DLL	_fpreset	IMPORTED
EXTERNAL:0000009f	Function	MSVCRT.DLL	_i64toa	IMPORTED
EXTERNAL:000000a0	Function	MSVCRT.DLL	_i64tow	IMPORTED
EXTERNAL:000000a1	Function	MSVCRT.DLL	_initterm	IMPORTED
EXTERNAL:000000a2	Function	MSVCRT.DLL	_itoa	IMPORTED
EXTERNAL:000000a3	Function	MSVCRT.DLL	_itow	IMPORTED
EXTERNAL:000000a4	Function	MSVCRT.DLL	_onexit	IMPORTED
EXTERNAL:000000a5	Function	MSVCRT.DLL	_snprintf	IMPORTED
EXTERNAL:000000a6	Function	MSVCRT.DLL	_ui64toa	IMPORTED
EXTERNAL:000000a7	Function	MSVCRT.DLL	_ui64tow	IMPORTED
EXTERNAL:000000a8	Function	MSVCRT.DLL	_ultoa	IMPORTED
EXTERNAL:000000a9	Function	MSVCRT.DLL	_ultow	IMPORTED
EXTERNAL:000000aa	Function	MSVCRT.DLL	abort	IMPORTED
EXTERNAL:000000ab	Function	MSVCRT.DLL	calloc	IMPORTED
EXTERNAL:000000ac	Function	MSVCRT.DLL	exit	IMPORTED
EXTERNAL:000000ad	Function	MSVCRT.DLL	floor	IMPORTED
EXTERNAL:000000ae	Function	MSVCRT.DLL	fprintf	IMPORTED
EXTERNAL:000000af	Function	MSVCRT.DLL	fputs	IMPORTED
EXTERNAL:000000b0	Function	MSVCRT.DLL	free	IMPORTED
EXTERNAL:000000b1	Function	MSVCRT.DLL	fwrite	IMPORTED
EXTERNAL:000000b2	Function	MSVCRT.DLL	islower	IMPORTED
EXTERNAL:000000b3	Function	MSVCRT.DLL	isupper	IMPORTED
EXTERNAL:000000b4	Function	MSVCRT.DLL	iswctype	IMPORTED
EXTERNAL:000000b5	Function	MSVCRT.DLL	localeconv	IMPORTED
EXTERNAL:000000b6	Function	MSVCRT.DLL	malloc	IMPORTED
EXTERNAL:000000b7	Function	MSVCRT.DLL	mbstowcs	IMPORTED
EXTERNAL:000000b8	Function	MSVCRT.DLL	memchr	IMPORTED
EXTERNAL:000000b9	Function	MSVCRT.DLL	memcmp	IMPORTED
EXTERNAL:000000ba	Function	MSVCRT.DLL	memcpy	IMPORTED
EXTERNAL:000000bb	Function	MSVCRT.DLL	memset	IMPORTED
EXTERNAL:000000bc	Function	MSVCRT.DLL	qsort	IMPORTED
EXTERNAL:000000bd	Function	MSVCRT.DLL	realloc	IMPORTED
EXTERNAL:000000be	Label	MSVCRT.DLL	setlocale	IMPORTED
EXTERNAL:000000bf	Function	MSVCRT.DLL	signal	IMPORTED
EXTERNAL:000000c0	Function	MSVCRT.DLL	strchr	IMPORTED
EXTERNAL:000000c1	Function	MSVCRT.DLL	strlen	IMPORTED
EXTERNAL:000000c2	Function	MSVCRT.DLL	strncmp	IMPORTED
EXTERNAL:000000c3	Function	MSVCRT.DLL	strtoul	IMPORTED
EXTERNAL:000000c4	Function	MSVCRT.DLL	tolower	IMPORTED
EXTERNAL:000000c5	Function	MSVCRT.DLL	toupper	IMPORTED
EXTERNAL:000000c6	Function	MSVCRT.DLL	towupper	IMPORTED
EXTERNAL:000000c7	Function	MSVCRT.DLL	vfprintf	IMPORTED
EXTERNAL:000000c8	Function	MSVCRT.DLL	wcscmp	IMPORTED
EXTERNAL:000000c9	Function	MSVCRT.DLL	wcscspn	IMPORTED
EXTERNAL:000000ca	Function	MSVCRT.DLL	wcslen	IMPORTED
EXTERNAL:000000cb	Function	MSVCRT.DLL	wcsncmp	IMPORTED
EXTERNAL:000000cc	Function	MSVCRT.DLL	wcsstr	IMPORTED
EXTERNAL:000000cd	Function	MSVCRT.DLL	wcstod	IMPORTED
